DATE,Month,Year,CC#,DISTRICT,LOCATION,TYPE,X (LONG),Y (LAT),COORDINATES
4/18/2015 0:00,4,2015,158D07705,SWD,2700 Baker St.,Shooting,-76.6610103,39.306306,"(39.3063060000, -76.6610103000)"
4/12/2015 0:00,4,2015,157D04793,WD,1034 N Mount St,In Custody Death,-76.64495,39.300588,"(39.3005880000, -76.6449500000)"
4/5/2015 0:00,4,2015,152D02117,SED,3200 Elliott St,In Custody Injury,-76.570918,39.279542,"(39.2795420000, -76.5709180000)"
4/4/2015 0:00,4,2015,150941707 (Balto. Co.),,"1500 Williams Ave Essex, MD",Impact Weapon,0,0,"(0E-10, 0E-10)"
3/27/2015 0:00,3,2015,158C20328,SWD,4403 Frederick Ave,Discharge,-76.6875433,39.2802577,"(39.2802577000, -76.6875433000)"
2/23/2015 0:00,2,2015,157B08089,WD,1000 N Fremont Ave,Shooting,-76.6351088,39.3002917,"(39.3002917000, -76.6351088000)"
2/14/2015 0:00,2,2015,155B05510,ND,2201 W Cold Spring Ln,In-Custody Death,-76.6519798,39.3428145,"(39.3428145000, -76.6519798000)"
2/7/2015 0:00,2,2015,159B02808,SD,1100 Race St,Discharge,-76.6165186,39.276553,"(39.2765530000, -76.6165186000)"
1/24/2015 0:00,1,2015,159A09331,SD,1925 McHenry St,Shooting,-76.6476982,39.2840139,"(39.2840139000, -76.6476982000)"
1/22/2015 0:00,1,2015,156A05819,NWD,4311 Pimlico RD,Shooting,-76.6636851,39.3395501,"(39.3395501000, -76.6636851000)"
12/28/2014 0:00,12,2014,143L10680,ED,3001 E Monument St,Shooting,-76.57512578,39.29909826,"(39.2990982640, -76.5751257770)"
11/23/2014 0:00,11,2014,143K09332,ED,2200 Kirk Ave,Vehicle,-76.60559475,39.31476134,"(39.3147613370, -76.6055947470)"
11/15/2014 0:00,11,2014,149K06078,SD,500 S Stricker St,Discharge,-76.6406369,39.2828905,"(39.2828905000, -76.6406369000)"
11/10/2014 0:00,11,2014,143K02991,ED,700 N Patterson Park Ave,Vehicle,-76.58509593,39.29878144,"(39.2987814440, -76.5850959270)"
9/23/2014 0:00,9,2014,145I10232,ND,3126 Greenmount Ave,Head Injury & Taser,-76.60944665,39.32686762,"(39.3268676190, -76.6094466480)"
9/20/2014 0:00,9,2014,142630057 (Balt. Co.),,3400 Red Rose Farm Rd  MD,Shooting,0,0,"(0E-10, 0E-10)"
9/9/2014 0:00,9,2014,146I03804,NWD,3300 W Garrison Ave,Discharge,-76.67514837,39.34652188,"(39.3465218790, -76.6751483700)"
8/31/2014 0:00,8,2014,147H13740,WD,1400 N Fulton Ave,Vehicle,-76.64621025,39.30427644,"(39.3042764440, -76.6462102470)"
8/26/2014 0:00,8,2014,148H11351,SWD,600 Poplar Grove St,Head Injury,-76.664961,39.294525,"(39.2945250000, -76.6649610000)"
8/20/2014 0:00,8,2014,147H08732,WD,1600 Presbury St,Taser,-76.644298,39.308047,"(39.3080470000, -76.6442980000)"
8/18/2014 0:00,8,2014,147H07659,WD,1400 W Lexington St,Vehicle,-76.639899,39.290823,"(39.2908230000, -76.6398990000)"
8/17/2014 0:00,8,2014,146H07383,NWD,5200 Florence Ave,Head Injury,-76.679429,39.347766,"(39.3477660000, -76.6794290000)"
8/7/2014 0:00,8,2014,149H02760,SD,1600 Whetstone Way,Head Injury,-76.5995867,39.2693287,"(39.2693287000, -76.5995867000)"
8/5/2014 0:00,8,2014,148H01894,SWD,424 Font Hill Ave,Self Inflicted Shooting,-76.663488,39.27871,"(39.2787100000, -76.6634880000)"
7/21/2014 0:00,7,2014,144G08327,NED,4700 Luerssen Ave,Vehicle,-76.561733,39.336603,"(39.3366030000, -76.5617330000)"
7/14/2014 0:00,7,2014,141G06338,CD,100 N Front St,Vehicle,-76.605818,39.291045,"(39.2910450000, -76.6058180000)"
7/1/2014 0:00,7,2014,147G00258,WD,1300 N Fremont Ave,Vehicle,-76.636964,39.303587,"(39.3035870000, -76.6369640000)"
