"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @thereaIbanksy: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http:/…",FALSE,0,NA,2015-05-05 18:44:17,FALSE,NA,"595660303003693057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","m0lliecule_",2485,TRUE,FALSE,NA,NA
"RT @deray: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http://t.co/6b…",FALSE,0,NA,2015-05-05 18:44:13,FALSE,NA,"595660283370168321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsLamichYaBish",13888,TRUE,FALSE,NA,NA
"RT @blacksnob: The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.c…",FALSE,0,NA,2015-05-05 18:44:10,FALSE,NA,"595660274096537601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VEEZYJACKSON",3,TRUE,FALSE,NA,NA
"RT @RadRoopa: Justice for #MyaHall #RekiaBoyd and #AiyanaJones. #BaltimoreUprising #BlackLivesMatter #TDOT2BMORE http://t.co/qafShNPyhU",FALSE,0,NA,2015-05-05 18:44:08,FALSE,NA,"595660265577967616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MonsterMarcia",52,TRUE,FALSE,NA,NA
"RT @chicago_iso: #BaltimoreUprising is fighting racist police terrorism and racist economic terrorism all at once. #Justice4Freddie http://…",FALSE,0,NA,2015-05-05 18:44:02,FALSE,NA,"595660239464194050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","garyw6666",7,TRUE,FALSE,NA,NA
"RT @jusPlainNish: ""@FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/7sLpaBGs1f"" &lt;----- This Is E…",FALSE,0,NA,2015-05-05 18:43:59,FALSE,NA,"595660224985440256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IAMHUMMINGBIRD",45,TRUE,FALSE,NA,NA
"Wow how quickly have we gone from #BaltimoreUprising to what #BeyonceOnMetGala Smdh @LSNpodcasts @TAXSTONE",FALSE,0,NA,2015-05-05 18:43:52,FALSE,NA,"595660197428916225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bizzyjay",0,FALSE,FALSE,"0","0"
"""Death of Freddie Gray"" #Wikipedia edit by Gaijin42 #BaltimoreUprising http://t.co/5aEzb7SSjt",FALSE,0,NA,2015-05-05 18:43:49,FALSE,NA,"595660185928126466",NA,"<a href=""http://justinblinder.com"" rel=""nofollow"">gray edits</a>","baltimoreedits",0,FALSE,FALSE,NA,NA
"#Ferguson #BaltimoreUprising #BlackLivesMatter http://t.co/h3X5bTpFEq",FALSE,0,NA,2015-05-05 18:43:45,FALSE,NA,"595660168152621057",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","CindyBee99",0,FALSE,FALSE,NA,NA
"RT @SauloCorona: #Baltimore: ‘we want justice, by any means necessary’: http://t.co/ol8nuHlZPk #FreddieGray #BaltimoreUprising http://t.co/…",FALSE,0,NA,2015-05-05 18:43:43,FALSE,NA,"595660160204419074",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","msxsule",1,TRUE,FALSE,NA,NA
"RT @DoxingRx: HELP LOCATE  2 TERRORIST = #BaltimoreUprising 
#Baltimore CITY HALL FLAG THEFT/BURN + CVS FIRE STARTER http://t.co/0eauc4XcXn",FALSE,0,NA,2015-05-05 18:43:42,FALSE,NA,"595660154093309952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tammybaby65",1,TRUE,FALSE,NA,NA
"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…",FALSE,0,NA,2015-05-05 18:43:40,FALSE,NA,"595660147818631169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mr____Wright",156,TRUE,FALSE,NA,NA
"""Death of Freddie Gray"" #Wikipedia edit by TheGracefulSlick #BaltimoreUprising http://t.co/PJ2Pxkefoi",FALSE,0,NA,2015-05-05 18:43:32,FALSE,NA,"595660112301273091",NA,"<a href=""http://justinblinder.com"" rel=""nofollow"">gray edits</a>","baltimoreedits",0,FALSE,FALSE,NA,NA
"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB",FALSE,0,NA,2015-05-05 18:43:26,FALSE,NA,"595660089522036736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nereida_lizzet",611,TRUE,FALSE,NA,NA
"RT @blacksnob: The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.c…",FALSE,0,NA,2015-05-05 18:43:23,FALSE,NA,"595660074393174017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msthenderson",3,TRUE,FALSE,NA,NA
"I feel @BarackObama shouldn't involve himself in the #BaltimoreUprising stuff.  He's hardly impartial and could fuel the fire.  #NoOffense.",FALSE,0,NA,2015-05-05 18:43:22,FALSE,NA,"595660070563782656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bwd73",0,FALSE,FALSE,NA,NA
"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…",FALSE,0,NA,2015-05-05 18:43:15,FALSE,NA,"595660043527282688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eggology_",156,TRUE,FALSE,NA,NA
"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/8ZwXilUxMW",FALSE,0,NA,2015-05-05 18:43:12,FALSE,NA,"595660027345674241",NA,"<a href=""http://justinblinder.com"" rel=""nofollow"">gray edits</a>","baltimoreedits",0,FALSE,FALSE,NA,NA
"RT _ThehOOdRept_: #RIP #TrayvonMartin #KendrickJohnson #EricGarner #MikeBrown #WalterScott #BaltimoreUprising #Fre… http://t.co/Wwq0pmvpIO",FALSE,0,NA,2015-05-05 18:43:09,FALSE,NA,"595660015450611712",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","JoelleJanuary",0,FALSE,FALSE,NA,NA
"RT @deray: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http://t.co/6b…",FALSE,0,NA,2015-05-05 18:42:55,FALSE,NA,"595659957791490048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulesBorn730",13888,TRUE,FALSE,NA,NA
"RT _ThehOOdRept_: #RIP #TrayvonMartin #KendrickJohnson #EricGarner #MikeBrown #WalterScott #BaltimoreUprising #Fre… http://t.co/wEinBHQpeg",FALSE,0,NA,2015-05-05 18:42:54,FALSE,NA,"595659952699613185",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","JoelleJanuary",0,FALSE,FALSE,NA,NA
"RT @ori_no_co: Streets of #Athens, #Greece

#BaltimoreUprising http://t.co/6qIwyngOaD",FALSE,0,NA,2015-05-05 18:42:48,FALSE,NA,"595659927240183808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Musicbrah_",502,TRUE,FALSE,NA,NA
"RT @TheAnonMessages: ALL HE DID WAS STAND HIS GROUND. HE DID NOTHING WRONG. #BaltimoreUprising http://t.co/3tpIuHD7OG",FALSE,0,NA,2015-05-05 18:42:42,FALSE,NA,"595659902128943104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jakelingy",375,TRUE,FALSE,NA,NA
"RT @TheFinalCall: New Edition! A Step Toward Justice http://t.co/mkdP5Js4op #BaltimoreUprising #MarilynMosby http://t.co/GpdIzrn7Jw",FALSE,0,NA,2015-05-05 18:42:39,FALSE,NA,"595659892159021058",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WorldofBlackGod",64,TRUE,FALSE,NA,NA
"RT @TheAnonMessages: ALL HE DID WAS STAND HIS GROUND. HE DID NOTHING WRONG. #BaltimoreUprising http://t.co/3tpIuHD7OG",FALSE,0,NA,2015-05-05 18:42:31,FALSE,NA,"595659857405050881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doll2Dame",375,TRUE,FALSE,NA,NA
"RT @deray: Legal volunteers among those arrested after defying Baltimore curfew #BaltimoreUprising http://t.co/lyNWL6bXia",FALSE,0,NA,2015-05-05 18:42:24,FALSE,NA,"595659827860381698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArchaicAlly",91,TRUE,FALSE,NA,NA
"RT @UniteBlueWI: Timeline Of Unarmed Black People Killed By Police In Past Yr http://t.co/spsZgSZ2tO #TonyRobinson #BaltimoreUprising http:…",FALSE,0,NA,2015-05-05 18:42:11,FALSE,NA,"595659775280619520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CoralDeserted",24,TRUE,FALSE,NA,NA
"#BlackSpring #BaltimoreUprising  https://t.co/Ob14JoeebP",FALSE,0,NA,2015-05-05 18:42:08,FALSE,NA,"595659761296777217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suziq2opn",0,FALSE,FALSE,NA,NA
"RT @AnonyPress: This is very important. #BaltimoreUprising http://t.co/LEUtr3t60C - hertzmau5",FALSE,0,NA,2015-05-05 18:42:01,FALSE,NA,"595659730615463936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wheretheloveis",64,TRUE,FALSE,NA,NA
"RT @deray: And here is a picture that someone just texted me. Penn and North. #BaltimoreUprising http://t.co/9ThwUAbCHG",FALSE,0,NA,2015-05-05 18:41:57,FALSE,NA,"595659716505825281",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","LouLasher",489,TRUE,FALSE,NA,NA
"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB",FALSE,0,NA,2015-05-05 18:41:48,FALSE,NA,"595659677247119360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JordanMariee2",611,TRUE,FALSE,NA,NA
"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE",FALSE,0,NA,2015-05-05 18:41:43,FALSE,NA,"595659657433260034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MozesIking",384,TRUE,FALSE,NA,NA
"RT @LeahRBoss: Woman LIED about LE in Baltimore shooting man in the back. Why witnesses aren't always reliable. https://t.co/lYcwjd029T #Ba…",FALSE,0,NA,2015-05-05 18:41:42,FALSE,NA,"595659650646876161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HarryThetech76",4,TRUE,FALSE,NA,NA
"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/ZgECnxRU69",FALSE,0,NA,2015-05-05 18:41:36,FALSE,NA,"595659625510350848",NA,"<a href=""http://justinblinder.com"" rel=""nofollow"">gray edits</a>","baltimoreedits",0,FALSE,FALSE,NA,NA
"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/eFs0h1stxF",FALSE,0,NA,2015-05-05 18:41:24,FALSE,NA,"595659574398590977",NA,"<a href=""http://justinblinder.com"" rel=""nofollow"">gray edits</a>","baltimoreedits",0,FALSE,FALSE,NA,NA
"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…",FALSE,0,NA,2015-05-05 18:41:21,FALSE,NA,"595659562243530752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isang1",156,TRUE,FALSE,NA,NA
"RT @shariline: #Baltimore #BaltimoreUprising #Blacklivesmatter #VALDOSTA #LowndesHighSchool It is our duty to fight for our people! https:/…",FALSE,0,NA,2015-05-05 18:41:06,FALSE,NA,"595659499127631873",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AngelDevil1166",2,TRUE,FALSE,NA,NA
