"","score","text"
"1",0,"RT @thereaIbanksy: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http:/…"
"2",0,"RT @deray: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http://t.co/6b…"
"3",-1,"RT @blacksnob: The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.c…"
"4",0,"RT @RadRoopa: Justice for #MyaHall #RekiaBoyd and #AiyanaJones. #BaltimoreUprising #BlackLivesMatter #TDOT2BMORE http://t.co/qafShNPyhU"
"5",-4,"RT @chicago_iso: #BaltimoreUprising is fighting racist police terrorism and racist economic terrorism all at once. #Justice4Freddie http://…"
"6",0,"RT @jusPlainNish: ""@FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/7sLpaBGs1f"" &lt;----- This Is E…"
"7",1,"Wow how quickly have we gone from #BaltimoreUprising to what #BeyonceOnMetGala Smdh @LSNpodcasts @TAXSTONE"
"8",-1,"""Death of Freddie Gray"" #Wikipedia edit by Gaijin42 #BaltimoreUprising http://t.co/5aEzb7SSjt"
"9",0,"#Ferguson #BaltimoreUprising #BlackLivesMatter http://t.co/h3X5bTpFEq"
"10",0,"RT @SauloCorona: #Baltimore: ‘we want justice, by any means necessary’: http://t.co/ol8nuHlZPk #FreddieGray #BaltimoreUprising http://t.co/…"
"11",0,"RT @DoxingRx: HELP LOCATE  2 TERRORIST = #BaltimoreUprising 
#Baltimore CITY HALL FLAG THEFT/BURN + CVS FIRE STARTER http://t.co/0eauc4XcXn"
"12",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"13",-1,"""Death of Freddie Gray"" #Wikipedia edit by TheGracefulSlick #BaltimoreUprising http://t.co/PJ2Pxkefoi"
"14",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"15",-1,"RT @blacksnob: The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.c…"
"16",1,"I feel @BarackObama shouldn't involve himself in the #BaltimoreUprising stuff.  He's hardly impartial and could fuel the fire.  #NoOffense."
"17",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"18",-1,"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/8ZwXilUxMW"
"19",-1,"RT _ThehOOdRept_: #RIP #TrayvonMartin #KendrickJohnson #EricGarner #MikeBrown #WalterScott #BaltimoreUprising #Fre… http://t.co/Wwq0pmvpIO"
"20",0,"RT @deray: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http://t.co/6b…"
"21",-1,"RT _ThehOOdRept_: #RIP #TrayvonMartin #KendrickJohnson #EricGarner #MikeBrown #WalterScott #BaltimoreUprising #Fre… http://t.co/wEinBHQpeg"
"22",0,"RT @ori_no_co: Streets of #Athens, #Greece

#BaltimoreUprising http://t.co/6qIwyngOaD"
"23",-1,"RT @TheAnonMessages: ALL HE DID WAS STAND HIS GROUND. HE DID NOTHING WRONG. #BaltimoreUprising http://t.co/3tpIuHD7OG"
"24",0,"RT @TheFinalCall: New Edition! A Step Toward Justice http://t.co/mkdP5Js4op #BaltimoreUprising #MarilynMosby http://t.co/GpdIzrn7Jw"
"25",-1,"RT @TheAnonMessages: ALL HE DID WAS STAND HIS GROUND. HE DID NOTHING WRONG. #BaltimoreUprising http://t.co/3tpIuHD7OG"
"26",0,"RT @deray: Legal volunteers among those arrested after defying Baltimore curfew #BaltimoreUprising http://t.co/lyNWL6bXia"
"27",-1,"RT @UniteBlueWI: Timeline Of Unarmed Black People Killed By Police In Past Yr http://t.co/spsZgSZ2tO #TonyRobinson #BaltimoreUprising http:…"
"28",0,"#BlackSpring #BaltimoreUprising  https://t.co/Ob14JoeebP"
"29",1,"RT @AnonyPress: This is very important. #BaltimoreUprising http://t.co/LEUtr3t60C - hertzmau5"
"30",0,"RT @deray: And here is a picture that someone just texted me. Penn and North. #BaltimoreUprising http://t.co/9ThwUAbCHG"
"31",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"32",0,"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE"
"33",0,"RT @LeahRBoss: Woman LIED about LE in Baltimore shooting man in the back. Why witnesses aren't always reliable. https://t.co/lYcwjd029T #Ba…"
"34",-1,"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/ZgECnxRU69"
"35",-1,"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/eFs0h1stxF"
"36",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"37",0,"RT @shariline: #Baltimore #BaltimoreUprising #Blacklivesmatter #VALDOSTA #LowndesHighSchool It is our duty to fight for our people! https:/…"
"38",0,"#Baltimore: ‘we want justice, by any means necessary’: http://t.co/ol8nuHlZPk #FreddieGray #BaltimoreUprising http://t.co/QvV5i7vZdC"
