,LABEL,YEAR,COUNT,Percentile,Rank
1,Abell,2015,26,9.03%,1
2,Allendale,2015,66,22.92%,2
3,Arcadia,2015,22,7.64%,1
4,Arlington,2015,38,13.19%,1
5,Armistead Gardens,2015,22,7.64%,1
6,Ashburton,2015,44,15.28%,1
7,Baltimore Highlands,2015,102,35.42%,2
8,Barclay,2015,56,19.44%,1
9,Barre Circle,2015,8,2.78%,1
10,Bayview,2015,24,8.33%,1
11,Beechfield,2015,38,13.19%,1
12,Belair-Edison,2015,242,84.03%,5
13,Belair-Parkside,2015,6,2.08%,1
14,Bellona-Gittings,2015,6,2.08%,1
15,Belvedere,2015,16,5.56%,1
16,Berea,2015,46,15.97%,1
17,Better Waverly,2015,52,18.06%,1
18,Beverly Hills,2015,6,2.08%,1
19,Biddle Street,2015,18,6.25%,1
20,Blythewood,NA,NA,0.00%,0
21,Bolton Hill,2015,62,21.53%,2
22,Boyd-Booth,2015,8,2.78%,1
23,Brewers Hill,2015,20,6.94%,1
24,Bridgeview/Greenlawn,2015,28,9.72%,1
25,Broadway East,2015,104,36.11%,2
26,Broening Manor,2015,26,9.03%,1
27,Brooklyn,2015,144,50.00%,3
28,Burleith-Leighton,2015,8,2.78%,1
29,Butcher's Hill,2015,34,11.81%,1
30,Callaway-Garrison,2015,18,6.25%,1
31,Cameron Village,2015,16,5.56%,1
32,Canton,2015,108,37.50%,2
33,Canton Industrial Area,2015,48,16.67%,1
34,CARE,2015,48,16.67%,1
35,Carroll-South Hilton,2015,16,5.56%,1
36,Carroll - Camden Industrial Area,2015,58,20.14%,2
37,Carroll Park,2015,18,6.25%,1
38,Carrollton Ridge,2015,84,29.17%,2
39,Cedarcroft,2015,2,0.69%,1
40,Cedmont,2015,36,12.50%,1
41,Cedonia,2015,20,6.94%,1
42,CENTRAL,NA,NA,0.00%,0
43,Central Forest Park,2015,18,6.25%,1
44,Central Park Heights,2015,106,36.81%,2
45,Charles North,2015,62,21.53%,2
46,Charles Village,2015,96,33.33%,2
47,Cherry Hill,2015,130,45.14%,3
48,Cheswolde,2015,38,13.19%,1
