"Month","Year","x","y","COORDINATES"
4,2015,-76.6610103,39.306306,"(39.3063060000, -76.6610103000)"
4,2015,-76.64495,39.300588,"(39.3005880000, -76.6449500000)"
4,2015,-76.570918,39.279542,"(39.2795420000, -76.5709180000)"
3,2015,-76.6875433,39.2802577,"(39.2802577000, -76.6875433000)"
2,2015,-76.6351088,39.3002917,"(39.3002917000, -76.6351088000)"
2,2015,-76.6519798,39.3428145,"(39.3428145000, -76.6519798000)"
2,2015,-76.6165186,39.276553,"(39.2765530000, -76.6165186000)"
1,2015,-76.6476982,39.2840139,"(39.2840139000, -76.6476982000)"
1,2015,-76.6636851,39.3395501,"(39.3395501000, -76.6636851000)"
12,2014,-76.57512578,39.29909826,"(39.2990982640, -76.5751257770)"
11,2014,-76.60559475,39.31476134,"(39.3147613370, -76.6055947470)"
11,2014,-76.6406369,39.2828905,"(39.2828905000, -76.6406369000)"
11,2014,-76.58509593,39.29878144,"(39.2987814440, -76.5850959270)"
9,2014,-76.60944665,39.32686762,"(39.3268676190, -76.6094466480)"
9,2014,-76.67514837,39.34652188,"(39.3465218790, -76.6751483700)"
8,2014,-76.64621025,39.30427644,"(39.3042764440, -76.6462102470)"
8,2014,-76.664961,39.294525,"(39.2945250000, -76.6649610000)"
8,2014,-76.644298,39.308047,"(39.3080470000, -76.6442980000)"
8,2014,-76.639899,39.290823,"(39.2908230000, -76.6398990000)"
8,2014,-76.679429,39.347766,"(39.3477660000, -76.6794290000)"
8,2014,-76.5995867,39.2693287,"(39.2693287000, -76.5995867000)"
8,2014,-76.663488,39.27871,"(39.2787100000, -76.6634880000)"
7,2014,-76.561733,39.336603,"(39.3366030000, -76.5617330000)"
7,2014,-76.605818,39.291045,"(39.2910450000, -76.6058180000)"
7,2014,-76.636964,39.303587,"(39.3035870000, -76.6369640000)"
6,2014,-76.677826,39.345395,"(39.3453950000, -76.6778260000)"
6,2014,-76.616219,39.30447,"(39.3044700000, -76.6162190000)"
6,2014,-76.629581,39.29012,"(39.2901200000, -76.6295810000)"
5,2014,-76.60288815,39.30505291,"(39.3050529119, -76.6028881527)"
5,2014,-76.613741,39.309996,"(39.3099960000, -76.6137410000)"
5,2014,-76.60362136,39.30432475,"(39.3043247472, -76.6036213583)"
5,2014,-76.58856498,39.35951926,"(39.3595192610, -76.5885649754)"
4,2014,-76.59281872,39.31472124,"(39.3147212390, -76.5928187230)"
3,2014,-76.54850166,39.33984573,"(39.3398457251, -76.5485016616)"
3,2014,-76.646306,39.361414,"(39.3614140000, -76.6463060000)"
2,2014,-76.61120627,39.29652504,"(39.2965250363, -76.6112062672)"
2,2014,-76.65590165,39.31947134,"(39.3194713437, -76.6559016477)"
2,2014,-76.65140579,39.26909681,"(39.2690968074, -76.6514057908)"
2,2014,-76.5782287,39.30389598,"(39.3038959787, -76.5782287042)"
1,2014,-76.59716031,39.28713019,"(39.2871301858, -76.5971603121)"
1,2014,-76.592474,39.30972311,"(39.3097231083, -76.5924739967)"
10,2013,-76.56588781,39.32297873,"(39.3229787344, -76.5658878096)"
9,2013,-76.59764511,39.29369826,"(39.2936982641, -76.5976451125)"
8,2013,-76.69198837,39.29014808,"(39.2901480834, -76.6919883658)"
5,2013,-76.63186398,39.28359282,"(39.2835928182, -76.6318639809)"
4,2013,-76.66151132,39.29456511,"(39.2945651064, -76.6615113213)"
4,2013,-76.56874899,39.28454487,"(39.2845448684, -76.5687489914)"
3,2013,-76.52950204,39.27695608,"(39.2769560811, -76.5295020443)"
1,2013,-76.66930657,39.35014731,"(39.3501473134, -76.6693065652)"
1,2013,-76.67282146,39.29419721,"(39.2941972073, -76.6728214620)"
1,2013,-76.58581186,39.29700041,"(39.2970004089, -76.5858118569)"
1,2013,-76.60986389,39.35614752,"(39.3561475240, -76.6098638869)"
1,2013,-76.57371762,39.31899782,"(39.3189978152, -76.5737176216)"
